Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,dateInYear,Record,RecordText,RecordP,CulmPrec
4,2,50,62,47,63,39,1976,85,2000,0,2.3,1958,2011-04-02,92,FALSE,,FALSE,0
4,3,46,63,47,63,39,1956,79,1961,0,0.76,1958,2011-04-03,93,FALSE,,FALSE,0
4,4,47,74,47,63,40,1950,82,1985,0,0.81,1975,2011-04-04,94,FALSE,,FALSE,0
4,5,50,61,47,63,39,1975,84,1989,0,0.74,1969,2011-04-05,95,FALSE,,FALSE,0
4,6,47,59,48,63,38,1975,89,1989,0,1.46,1967,2011-04-06,96,FALSE,,FALSE,0
4,7,45,53,48,64,39,1965,89,1989,0.04,0.58,1950,2011-04-07,97,FALSE,,FALSE,0.04
4,8,41,58,48,64,41,2011,92,1989,0,0.58,1965,2011-04-08,98,FALSE,,FALSE,0.04
4,9,45,58,48,64,38,1953,90,1989,0,0.96,1965,2011-04-09,99,FALSE,,FALSE,0.04
4,10,47,59,48,64,41,1949,91,1988,0,1.54,1982,2011-04-10,100,FALSE,,FALSE,0.04
4,11,49,62,48,64,38,1967,84,1988,0,0.92,2010,2011-04-11,101,FALSE,,FALSE,0.04
4,12,47,56,48,64,39,1983,88,1947,0,1.31,2003,2011-04-12,102,FALSE,,FALSE,0.04
4,13,46,58,48,64,39,1972,84,1985,0.15,0.45,2003,2011-04-13,103,FALSE,,FALSE,0.19
4,14,46,61,48,64,39,1950,87,1984,0,0.7,1963,2011-04-14,104,FALSE,,FALSE,0.19
4,15,49,65,48,64,38,1975,83,1966,0,1.02,1978,2011-04-15,105,FALSE,,FALSE,0.19
4,16,53,66,48,64,40,1975,81,1999,0,0.64,2000,2011-04-16,106,FALSE,,FALSE,0.19
4,17,53,61,48,65,40,1963,82,1954,0,0.8,1957,2011-04-17,107,FALSE,,FALSE,0.19
4,18,53,62,48,65,39,1968,83,1950,0.03,0.42,1984,2011-04-18,108,FALSE,,FALSE,0.22
4,19,52,66,48,65,40,1971,86,2009,0,1.25,1988,2011-04-19,109,FALSE,,FALSE,0.22
4,20,53,65,48,65,38,1967,91,2009,0.02,0.69,2001,2011-04-20,110,FALSE,,FALSE,0.24
4,21,49,60,48,65,39,1968,86,2009,0.03,0.83,1961,2011-04-21,111,FALSE,,FALSE,0.27
4,22,48,58,48,65,42,1963,82,1981,0,0.6,1988,2011-04-22,112,FALSE,,FALSE,0.27
4,23,49,62,49,65,41,1960,85,1959,0.01,0.6,1983,2011-04-23,113,FALSE,,FALSE,0.28
4,24,54,61,49,65,39,1960,81,2004,0.03,0.34,1983,2011-04-24,114,FALSE,,FALSE,0.31000000000000005
4,25,51,62,49,65,41,1974,87,2004,0.02,0.48,1994,2011-04-25,115,FALSE,,FALSE,0.33000000000000007
4,26,49,62,49,65,42,1955,90,2004,0,0.94,1978,2011-04-26,116,FALSE,,FALSE,0.33000000000000007
